bill,title,link,latest_action_date,latest_action,score,keywords,summary
HR 181,"To amend the Endangered Species Act of 1973 to provide that artificially propagated animals shall be treated the same under that Act as naturally propagated animals, and for other purposes.",https://www.congress.gov/bill/119/HR/181,2026-09-15,Ordered to be Reported in the Nature of a Substitute by the Yeas and Nays: 21 - 17.,5,endangered species,
HR 183,Law Enforcement Officer and Firefighter Recreation Pass Act,https://www.congress.gov/bill/119/HR/183,2026-07-21,Committee on Energy and Natural Resources Subcommittee on National Parks. Hearings held.,3,recreation,
